"","fsdisability","HH6.x","HH7.x","HC0","HW1","HW3","HW2","HC8","WS1","WS3","WS7","WS11","helevel","melevel","windex5.y","CB3","CB7","CB11","PR3","FCD2F","FCD2G","FCD2I","FCD2J","FCD2K","FCF1","FCF2","FCF3","HL4","Refugee"
"1",2,2,1,12,1,1,1,1,11,NA,2,13,2,2,4,12,2,1,0,1,2,2,2,2,2,2,2,1,3
"2",2,2,1,13,1,1,1,1,11,NA,2,13,1,1,3,17,2,2,NA,NA,NA,NA,NA,NA,2,2,2,1,3
"3",2,2,1,12,1,1,1,1,42,3,2,13,3,1,4,12,1,2,0,2,2,2,1,2,2,2,2,1,3
"4",2,2,1,12,1,1,1,1,11,NA,2,13,1,1,5,7,1,1,1,1,2,2,1,2,2,2,2,2,3
"5",2,2,1,12,1,1,1,1,11,NA,2,13,3,3,5,6,1,1,NA,2,2,2,1,2,2,2,2,2,3
"6",2,2,1,12,1,1,1,1,41,3,2,13,2,3,3,5,1,1,NA,2,2,2,1,2,2,2,2,1,3
"7",2,2,1,12,1,1,1,1,11,NA,2,13,1,3,4,6,2,1,NA,1,1,2,1,2,2,2,2,1,3
"8",2,2,1,13,1,1,1,1,42,3,1,13,3,3,4,9,1,1,3,1,2,2,1,2,2,2,2,2,1
"9",2,2,1,12,1,1,1,1,11,NA,2,13,1,3,3,8,1,2,0,2,2,2,1,2,2,2,2,2,3
"10",NA,2,1,12,1,1,1,1,11,NA,2,13,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3
"11",2,2,1,13,1,1,1,1,41,3,2,13,1,1,4,10,1,2,0,2,2,2,1,2,2,2,2,2,3
"12",2,2,1,13,1,1,1,1,11,NA,2,13,2,1,4,5,1,2,NA,2,2,2,2,2,2,2,2,1,1
"13",2,2,1,12,1,1,1,1,11,NA,2,13,1,1,4,12,1,2,0,2,2,1,2,2,2,2,2,2,3
"14",2,2,1,13,1,1,1,1,11,NA,2,13,2,1,5,12,1,1,0,2,2,1,1,2,2,2,2,2,3
"15",2,2,1,13,1,1,1,1,41,3,2,13,3,2,4,9,1,1,0,2,2,2,2,2,2,2,2,1,3
"16",2,3,1,12,1,1,1,1,11,NA,2,11,1,1,2,5,2,1,NA,2,2,2,1,2,2,2,2,2,3
"17",2,3,1,13,1,1,1,1,11,NA,2,11,2,2,4,16,1,1,NA,NA,NA,NA,NA,NA,2,2,2,1,1
"18",2,3,1,12,1,1,1,1,11,NA,1,11,1,1,3,7,1,1,0,2,1,1,1,2,2,2,2,1,1
"19",2,3,1,12,1,1,1,1,11,NA,2,11,1,1,3,17,1,1,NA,NA,NA,NA,NA,NA,2,2,2,2,1
"20",2,3,1,13,1,1,1,1,11,NA,1,11,1,3,4,9,1,2,10,2,2,2,2,2,2,2,2,1,1
"21",2,3,1,13,1,1,1,1,11,NA,2,11,2,2,4,17,1,1,NA,NA,NA,NA,NA,NA,2,2,2,2,1
"22",1,3,1,13,1,2,1,1,93,NA,2,11,1,2,4,7,1,1,0,2,1,1,1,2,1,2,2,1,1
"23",2,3,1,12,1,1,1,1,11,NA,2,11,1,1,4,16,1,1,NA,NA,NA,NA,NA,NA,2,2,2,2,1
"24",2,3,1,13,1,1,1,1,11,NA,2,11,1,1,3,16,1,1,NA,NA,NA,NA,NA,NA,1,2,2,2,1
"25",1,3,1,12,1,1,1,1,11,NA,1,11,3,1,4,12,1,1,0,1,2,2,1,2,2,2,2,2,1
"26",2,3,1,13,1,1,1,1,11,NA,1,11,2,2,2,6,1,1,NA,1,1,2,1,2,2,2,2,1,1
"27",2,3,1,13,1,1,1,1,11,NA,2,11,1,1,3,10,1,1,0,2,2,2,2,2,2,2,2,1,1
"28",2,3,1,12,1,1,1,1,11,NA,1,11,3,1,3,14,1,1,0,1,1,1,1,2,2,2,2,1,1
"29",2,2,25,12,1,1,1,1,11,NA,2,13,3,2,4,15,1,2,NA,NA,NA,NA,NA,NA,2,2,2,2,3
"30",2,2,25,13,1,1,1,1,11,NA,2,13,3,3,4,10,1,1,0,2,2,2,2,2,2,2,2,2,3
"31",2,2,25,11,1,1,1,1,11,NA,2,13,3,3,5,7,1,2,4,1,2,2,2,2,2,2,2,1,3
"32",2,2,25,12,1,1,1,1,11,NA,2,13,2,2,3,15,1,2,NA,NA,NA,NA,NA,NA,2,2,2,2,3
"33",2,2,25,13,1,1,1,1,11,NA,2,13,3,3,4,5,1,2,NA,2,2,2,2,2,2,2,2,2,3
"34",2,2,25,12,1,1,1,1,11,NA,2,13,3,2,3,9,1,1,0,2,2,2,2,2,2,2,2,1,3
"35",2,2,25,13,1,1,1,1,11,NA,2,13,2,2,4,13,1,1,10,2,2,2,2,2,9,2,2,2,3
"36",2,2,25,12,1,1,1,2,11,NA,2,13,3,2,2,9,1,1,4,2,2,2,2,2,2,2,2,1,3
"37",2,2,25,12,1,1,1,1,11,NA,2,13,3,3,5,7,1,1,5,2,2,2,2,2,2,2,2,2,3
"38",2,2,25,13,1,1,1,1,11,NA,2,12,1,1,5,13,1,1,0,2,2,9,2,2,2,2,2,1,3
"39",2,2,25,12,1,1,1,1,91,NA,2,12,3,3,5,14,1,1,0,2,2,2,2,2,2,2,2,1,3
"40",2,2,25,12,1,1,1,1,11,NA,2,99,1,1,3,14,1,1,0,2,2,2,2,2,2,2,2,2,3
"41",2,2,25,11,1,1,1,1,11,NA,2,14,1,1,5,11,1,2,0,1,1,2,1,2,2,2,2,1,3
"42",2,2,25,13,1,1,1,1,11,NA,1,13,1,1,2,12,1,2,0,1,2,2,2,2,2,2,2,1,3
"43",2,2,25,13,1,1,1,1,11,NA,1,12,1,2,4,7,1,1,1,2,2,2,2,2,2,2,2,2,3
"44",2,2,25,12,1,1,1,1,11,NA,2,13,1,2,5,9,1,1,0,1,1,1,1,2,2,2,2,1,3
"45",2,2,25,13,1,1,1,1,11,NA,2,12,2,2,4,13,1,1,7,2,1,2,2,2,2,2,2,2,3
"46",2,2,25,13,1,1,1,1,11,NA,2,13,2,3,5,5,1,1,NA,2,2,2,2,2,2,2,2,1,3
"47",2,2,25,12,1,1,1,1,11,NA,2,13,2,3,5,6,1,2,NA,2,2,2,2,2,2,2,2,1,3
"48",2,2,25,12,1,1,1,1,11,NA,2,13,2,2,4,5,1,1,NA,1,2,2,1,2,2,2,2,1,3
